hora,ruta,info_ruta
5:53 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 5:53 p. m., Llegada Medellín: 6:38 p. m."
6:01 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 6:01 p. m., Llegada Medellín: 6:46 p. m."
6:25 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 6:25 p. m., Llegada Medellín: 7:10 p. m."
6:49 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 6:49 p. m., Llegada Medellín: 7:34 p. m."
6:57 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 6:57 p. m., Llegada Medellín: 7:42 p. m."
7:13 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 7:13 p. m., Llegada Medellín: 7:58 p. m."
7:25 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 7:25 p. m., Llegada Medellín: 8:10 p. m."
7:40 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 7:40 p. m., Llegada Medellín: 8:25 p. m."
8:00 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 8:00 p. m., Llegada Medellín: 8:45 p. m."
8:20 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 8:20 p. m., Llegada Medellín: 9:05 p. m."
8:40 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 8:40 p. m., Llegada Medellín: 9:25 p. m."
9:00 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 9:00 p. m., Llegada Medellín: 9:45 p. m."
9:40 p. m.,vereda-brisas sentido-a-medellin,"Salida Brisas: 9:40 p. m., Llegada Medellín: 10:25 p. m."
6:29 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 6:29 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 8:13 a. m."
7:29 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 7:29 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 8:39 a. m."
7:53 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 7:53 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 9:13 a. m."
8:25 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 8:25 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 9:45 a. m."
8:57 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 8:57 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 10:17 a. m."
9:41 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 9:41 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 11:01 a. m."
10:25 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 10:25 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 11:45 a. m."
